24 HOUR VOLUME COUNT LOCATIONS,NB TOTAL,SB TOTAL,EB TOTAL, WB TOTOAL,TOTAL VOLUME,DATE,Lost time (l),Saturation headway(h),Green delay time (l+h.n)
"10th St East, 1000 blk - West of Waller St",,,101,115,216,9/27/2005 0:00,4,2,436
"10th St East, 1200 blk - West of Navasota St",,,103,55,158,9/27/2005 0:00,4,2,320
"10th St East, 600 blk - East of Red River St",,,n/a,2240,2240,2/26/2009 0:00,4,2,4484
"10th St East, 700 blk - West of IH35 WSR                     1-way WB",,,n/a,1599,1599,7/6/2005 0:00,4,2,3202
"10th St West, 1000 blk - West of N. Lamar Blvd",,,373,288,661,1/24/2001 0:00,4,2,1326
"10th St West, 1300 blk - West of Lorrain St",,,383,314,697,6/5/2007 0:00,4,2,1398
"10th St West, 600 blk - West of Nueces St",,,1591,431,2022,1/11/2001 0:00,4,2,4048
"10th St West, 800 blk - West of West Ave",,,2163,925,3088,1/30/2003 0:00,4,2,6180
"10th St West, 900 blk - East of N. Lamar Blvd",,,2254,940,3194,1/30/2003 0:00,4,2,6392
"11th St East, 1100 blk - East of Waller St",,,4185,3788,7973,6/26/2006 0:00,4,2,15950
"11th St East, 600 blk - East of Red River St",,,6544,5387,11931,3/24/2009 0:00,4,2,23866
"11th St West, 200 blk - East of Lavaca St",,,3568,5416,8984,7/19/2011 0:00,4,2,17972
"12th St East, 1300 blk - East of San Bernard",,,3644,4813,8457,6/23/2014 0:00,4,2,16918
"12th St East, 1300 blk - West of Angelina St",,,3701,4395,8096,10/27/2009 0:00,4,2,16196
"12th St East, 1700 blk - East of Leona St",,,3393,4153,7546,10/27/2009 0:00,4,2,15096
"12th St East, 400 blk - West of Red River St",,,1932,2084,4016,2/28/2005 0:00,4,2,8036
"12th St East, 4500 blk - West of  Springdale Rd",,,2609,2709,5318,3/22/2005 0:00,4,2,10640
"12th St East, 600 blk - East of Red River St",,,3658,3074,6732,3/4/2009 0:00,4,2,13468
"12th St West, 1000 blk - West of N. Lamar Blvd",,,3335,2705,6040,2/26/2009 0:00,4,2,12084
"12th St West, 1000 blk - West of N. Lamar Blvd",,,4094,2929,7023,1/24/2001 0:00,4,2,14050
"12th St West, 1300 blk - East of Lorrain St",,,2917,4755,7672,4/28/2004 0:00,4,2,15348
"12th St West, 1300 blk - East of Lorrain St",,,2000,2181,4181,9/10/2001 0:00,4,2,8366
"12th St West, 1400 Blk - West of Shelly Ave",,,1881,2071,3952,9/10/2001 0:00,4,2,7908
"13th St East, 3100 Blk - West of Airport Blvd",,,171,321,492,9/13/2007 0:00,4,2,988
"13th St West, 200 Blk - East of Lavaca St",,,n/a,1082,1082,6/8/2006 0:00,4,2,2168
"13th St West, 300 Blk - West of Lavaca St",,,574,n/a,574,6/8/2006 0:00,4,2,1152
"14 1/2 St East, 3100 blk - West of Airport Blvd",,,218,332,550,9/13/2007 0:00,4,2,1104
"14th St East, 2000 Blk - West of Alamo St",,,201,175,376,2/27/2007 0:00,4,2,756
"15th St East, 400 blk - West of Red River St",,,15032,4309,19341,2/28/2005 0:00,4,2,38686
"15th St East, 600 blk - East of Red River St",,,14443,13807,28250,1/31/2011 0:00,4,2,56504
"15th St East, 600 blk - East of Red River St",,,15585,14070,29655,4/8/2009 0:00,4,2,59314
"15th St East, 700 blk - At IH 35",,,9199,5717,14916,11/12/2008 0:00,4,2,29836
"15th St West, 1100 blk - West of Lamar Blvd Bridge",,,15208,13365,28573,1/26/2011 0:00,4,2,57150
"15th St West, 1100 blk - West of Lamar Blvd North",,,16158,13765,29923,3/25/2009 0:00,4,2,59850
"16th St East, 3100 blk - West of Airport Blvd",,,175,170,345,9/13/2007 0:00,4,2,694
"16th Street East, 3000 blk - West of McKinney",,,93,122,215,9/24/2012 0:00,4,2,434
"18th St East, 200 blk - East of Brazos St                        1-way WB",,,n/a,639,639,7/6/2005 0:00,4,2,1282
"18th St East, 200 blk - East of Brazos St                        1-way WB",,,n/a,688,688,10/4/2004 0:00,4,2,1380
"1st Street South, 100 blk - North of Riverside Dr",11516,15316,,,26832,6/21/2005 0:00,4,2,53668
"1st Street South, 100 blk - North of Riverside Dr",9989,12953,,,22942,2/6/2002 0:00,4,2,45888
"1st Street South, 100 blk - North of Riverside Dr",8092,10391,,,18483,7/10/2001 0:00,4,2,36970
"1st Street South, 100 blk - On the Bridge",15588,16987,,,32575,10/20/2010 0:00,4,2,65154
"1st Street South, 100 blk - On the Bridge",15181,17848,,,33029,4/8/2009 0:00,4,2,66062
"1st Street South, 1000 blk - North of Copeland St",12250,12400,,,24650,2/25/2009 0:00,4,2,49304
"1st Street South, 11100 blk - North of FM 1626",1085,1180,,,2265,9/10/2001 0:00,4,2,4534
"1st Street South, 1300 blk - North of W. Elizabeth St",10099,9033,,,19132,10/27/2004 0:00,4,2,38268
"1st Street South, 2000 blk - South of W. Mary St",9717,9721,,,19438,1/6/2005 0:00,4,2,38880
"1st Street South, 2200 blk - South of W. Live Oak St",12040,12022,,,24062,2/25/2009 0:00,4,2,48128
"1st Street South, 3500 blk - South of W. Alpine Rd",11807,11016,,,22823,6/21/2005 0:00,4,2,45650
"1st Street South, 3700 blk - South of South Center St",15084,14111,,,29195,2/25/2009 0:00,4,2,58394
"1st Street South, 5200 blk - North of Ramble Ln",10646,10061,,,20707,7/21/2003 0:00,4,2,41418
"1st Street South, 5500 blk - North of W. Stassey Ln",11341,10702,,,22043,1/22/2003 0:00,4,2,44090
"1st Street South, 9100 blk - South of Slaughter Ln",4176,3203,,,7379,11/13/2006 0:00,4,2,14762
